image_name,product_name,text,allergens,text_length
0888849000463_en,"Chocolate peanut butter protein bar, chocolate peanut butter","QuzsTBAR Yout 01/11/16 0r0i041cp01501} Giddn They Saio ThaT This 'Protlin BAR COULDN T MADL But We FinlLy did it""s Delicious Food PaCKED With CPOTcN T 'MaKIS No compromises Just Read OuR INGrEdilNTs AnD You Ll SEE; CoctalMcoatwoull 20g ONLY 39 NET CaRI OuzSTBAR PROTEIN RAR @IQQQLMDLANITBCIUR Trta GEa War Net W","milk, peanuts",311
20742690_en,Peanut Butter Wafers,Peanut Butter WAFERS Joigs sGeisiot ~6-2 02 (57g) [ ) PACKAGES NETWT i202 (340g),"gluten, milk, peanuts, soybeans",80
0099482497989_en,Kettle Cooked Texas Style Barbecue Chips,[Nutrition Facts sentinas Seoin 10 cenngs Per conane E2 [Ziebut 12 ctizs) Ameunt Earutng Caleries 150 LDaua Total Fate9 SaturatedFang VansFat09 eaan Monatted R Cholesterol 0u2 07 Sodium 0079 Total Carbohydrate 19 Dahg ToaSugas Kre 7gAded8121 Proteln 29 Mtn 07cg 01n073 0eng nd,mustard,276
00667104_en,Completely Cacao Chips,Organte completely cacao cius unSu Uned chort Iuun Luticou {edranarer POT,nuts,73
0860132001418_en,Dark Chocolate Chip Yes Bar,GMocolra 1 8 YES ' Kegan 1 BARo a Paleo ' BEST ` SNACK ? Gluten-Free 15g Nuts TASTING Sg Protein LOLuo G,"nuts, sesame-seeds",104
0602652400650_en,Cranberry Almond Granola Bar,NEW 12 BAR VALUE PACK #IINGREDIENT HcarT Healthy ALMONDS KIND Cranberry Almond I3 Gluten Free 12 BARS %.K MAFS,"nuts, soybeans",110
00956437_en,Chocolate Chip Chewy Coated Granola Bars,"TaadcR Joe{ chocolate chip chewy Coated GRANOLA BARS ~tthnlled cxs. ~clydle = chips AMG _ ""T6'0i","gluten, milk, soybeans",96
0013562493944_en,Organic Chocolate Chip Cookie Bites,CBRTITIED ORGANIO Annies HOMEGROWN Organic Cookie Bites Chocolate Chip Oreamic Annies 10 Orte Choc late IChiR Fntaauausumimtuc,gluten,126
0705599014765_en,Gluten Free Frontier Oat Power Waffles,WhOLE Power WAFFLES 400z GRAINS GLUTEN FREE KODIAK CAKES FRONTIER OAT WAFFLES,"eggs, milk",77
0743504999820_en,Chocolate truffle,Uinox 0iui 010/0j04j suoodsnai burjody QJOld SNOILJj4IQ sillycow FARMSa Unlquely Vermont; ! Monren Hot CHOCOLATI,soybeans,112
0686700101324_en,Gamesa Arcoiris Marshmallow Cookies (6-2.6 Oz) 15.5 Ounce 6 Pack Box,Gamesa) apcoiris Map-shmallow Malvavisco Cookiesz Galletas 6-265 (IS9I packs/ paquetcs NET WTI CONT NETO 155 0z (440g1,"gluten, soybeans",118
0047495620047_en,Blueberry & Raspberry Fig Bars,Now MORE FIg BARSI NATZRES BAKERY FIG BAR 32 Real FRUIT & WHOLE GRAINS )3AZ OZ Tig #a,gluten,85
0049508006190_en,Pretzel crackers,"Lietzel C Jm SRUNcHY _ CAACKLA SESAME DELI STYLE Rethink 'pielgelt"" VED","gluten, sesame-seeds",71
0028400744508_en,Kettle Cooked Potato Chips Sour Cream Herb & Onion,"KETTEcookiDroniooae , Mist Vde / SQUR HERB & COEON^ )aMQU"" OCtt 4s",milk,66
0042238302518_en,Goldbears,MIsentabeBaG 77111444012 HARIBO GOLd- BEARS GUMI CANDY KGadgouch Ousa mecanl ske 12 MrWordotur @ MITWI 2480201128028169,gelatin,119
0888670081426_en,Nut Bar,CDTNd NUTS & SEA SALT WELLSLEY FARMS NUL BAR DARK chocolatE FLAvORED coatikg: HuTS SLA SALT 700,nuts,95
4000539140327_en,Vegan smooth chocolate,Sndt k CLASSIC RECIPE VEGAN SMOOTH ~ CAne MADE WITh OAT DRINK,"nuts, soybeans",61
0888109010072_en,Orange Cupcakes,FRGsat Oed CamE THNACRERYL EuLne oste Orange OupCakes,"eggs, gluten, milk, soybeans",53
00774529_en,Jalapeño & Cream Cheese Crispy Wontons,Iadrr Jort Jalapena & Cuam Chuse (RISPY WONTONS Cets 95 iltr Ihing cdedent NET WT.7.S 02 (213g) 12p',"gluten, milk",100
0077034089974_en,"Sweet 'n salty, peanuts, cocoa candies, raisins, sunflower kernels the american trail mix, sweet 'n salty",SWEET 'N SALTY Mix Fdetrdit dorm 1933 elTEM FaEE 480 Wemigou i Kdis americam Jaait _ MIX,"milk, peanuts, soybeans",88
0015665000197_en,Cheddar blast,Nev RATES BoO EzzEb 5o% MoRE] REAL CHEESD CHEDDAR BLAST,milk,55
4099100063875_en,Cracked pepper wheat,iul WOVEN ~; WHOLE WHEAT CRACKED PEPPER BAKED CRACKERS NATURALLY FLAVORED,gluten,73
4061461753764_en,Original Seeded Crackers,Svidlly Riginal Seeded Crackers | organic Ftn Baown RIcE avinoi FlAx AND Sesahe SEEDS Tmn KUE PER I2CAACKEAS EMll td 1o Snae Jegonst RET WT 5.5 02 (1569},"sesame-seeds, soybeans",153
0193968100797_en,THE BETTER NUT BAR DARK CHOCOLATE & SEA SALT,BETTER M4ek (HDEOLALULtta 24 baRS BETTER NUT BAR TACA[C CHOCOLate= Uemsali {otniaen Bo5055y Woidlms,"nuts, soybeans",99
0810091780909_en,Mexican Vanilla Chocolate Chip Cookies,"2 GLUTEN FREE VEGAN 9'ET{ GRAIN FREE coOkIeS hiltOp ""Oexican lanilla CHOCOLATE CHIP ALMOND FLOUR cocohut oil NET W7ASO2 (262)",nuts,125
0078742294421_en,Almond & Crandberry Nut Bars,Gvagt Almond & Cranberry Nut Bars Ghion-Fice = 4g Protein Per Serving Hanicials Coior Favcrs 4-1.402 (40g) BARS NET WT 5.6 02 (160g),"nuts, soybeans",132
0089947302064_en,Gluten Free Original Waffles,Ynolu graln: 440 icvina Dafy vqa lieu vans gluten free ORIGINAL no aruligcl (Keost Yid J42i9(907,"peach, soybeans",96
8000500417348_en,Dark chocolate with cranberries & macadamia fruit & nut bar,POTURAL EAT Muult&nut bars dark chocolate Cronbemlot atraa,"nuts, soybeans",58
0856481003807_en,Lilys sweets caramelized salted chocolate bar,CARAMELIZED&SALTED LILYS AO*CHOCOLATE & MILK STEVIA SWEETENED No Sugar Addedl,"milk, soybeans",77
29211913_en,Hazelnut & Sea Salt Vegan Chocolate,HAZELNUT SEA SALT VECAN CHOCOLATE 429 Hahaena Jeeacut,"nuts, soybeans",53
0040000525448_en,Silky smooth promises dark chocolate & sea salt caramel bar,DDove Smnootr Promises Dark Chocolate & Sea Salt Caramel Dove,"milk, soybeans",61
5000328328645_en,Wotsits Crunchy,New MALKERS) 093 GRUNGH) REALLI CHEES O7ay NO ARTIF SEGABIR OE,milk,62
4088600206615_en,Wasabi peas,delish Wasabi = Peat Dricd pien pecstthata epky tabi cdg e4a,mustard,60
